(Parent) ASIN;(Child) ASIN;Title;Sessions - Total;Session Percentage - Total;Page Views - Total;Page Views Percentage - Total;Featured Offer (Buy Box) Percentage;Units Ordered;Units Ordered - B2B;Unit Session Percentage;Unit Session Percentage - B2B;Ordered Product Sales;Ordered Product Sales - B2B;Total Order Items;Total Order Items - B2B
B08DRRL8RD;B07GPZDSDN;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPZFN25;Replacement US International Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPZJVPW;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GQ2KKWT;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GQB3JXF;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;10;0.38%;12;0.32%;91.67%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GQKPF7W;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQWH4H8;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQWM635;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQWN6Q1;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;7;0.27%;10;0.27%;90.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQWT766;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T470 T480;15;0.57%;20;0.54%;90.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQY8BWD;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GQYPRCZ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQYWDGX;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T470 T480;7;0.27%;8;0.21%;75.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GQYWMTG;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GQYZLNW;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T470s;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR3JXPW;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR3KVQ2;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR3RXHZ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T470 T480;6;0.23%;7;0.19%;85.71%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR48VK8;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR4KBGM;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR4KKT4;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR4LGNY;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T470 T480;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR55L99;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad T470 T480;5;0.19%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR5CG9B;Replacement US International Backlit Keyboard for Lenovo Thinkpad T470 T480;11;0.42%;11;0.29%;36.36%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR5FRHZ;Replacement Polish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR611BB;Replacement Norwegian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07GR62WK9;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR64XTN;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;4;0.11%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR6D97C;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;50.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR6H2WG;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR6VLQG;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;9;0.34%;16;0.43%;93.75%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR7FQKV;Replacement Russian Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR7RCTV;Replacement US International Backlit Keyboard for Lenovo Thinkpad T460s T470s;6;0.23%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GR8BD34;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T460s T470s;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07GR8DN94;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07GR8MX7V;Replacement Polish Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GRF4NJ8;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad T460s T470s;3;0.11%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07GRFJFQX;Replacement Hungarian Backlit Keyboard for Lenovo Thinkpad T460s T470s;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GSZSJSD;Replacement UK Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GT16YDD;Replacement French Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;6;0.23%;7;0.19%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GT2C6SX;Replacement Scandinavian – Nordic Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXQ4TXD;Replacement Hungarian Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;4;0.15%;6;0.16%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTLHDB;B07GXQPGJV;Replacement UK Non-Backlit Keyboard for Lenovo Thinkpad T520 T520i T420S T420 T420i T400S T410S T410 T410I T510 T510i W510 W520 X220T X220s X220i X220;5;0.19%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
